IFBench300: 0 complete, 300 pending
complete=241/300 key=180 endpoint=http://127.0.0.1:9300 tokens=16820 finish=stop attempts=1
complete=242/300 key=227 endpoint=http://127.0.0.1:9400 tokens=14398 finish=stop attempts=1
complete=243/300 key=217 endpoint=http://127.0.0.1:9400 tokens=14298 finish=stop attempts=1
complete=244/300 key=191 endpoint=http://127.0.0.1:9400 tokens=14427 finish=stop attempts=1
complete=245/300 key=289 endpoint=http://127.0.0.1:9400 tokens=10170 finish=stop attempts=1
complete=246/300 key=223 endpoint=http://127.0.0.1:9400 tokens=16856 finish=stop attempts=1
complete=247/300 key=272 endpoint=http://127.0.0.1:9300 tokens=14473 finish=stop attempts=1
complete=248/300 key=226 endpoint=http://127.0.0.1:9300 tokens=28531 finish=stop attempts=1
complete=249/300 key=200 endpoint=http://127.0.0.1:9300 tokens=30583 finish=stop attempts=1
complete=250/300 key=172 endpoint=http://127.0.0.1:9300 tokens=791 finish=stop attempts=2
complete=251/300 key=13 endpoint=http://127.0.0.1:9400 tokens=4642 finish=stop attempts=2
complete=252/300 key=24 endpoint=http://127.0.0.1:9300 tokens=5469 finish=stop attempts=2
complete=253/300 key=19 endpoint=http://127.0.0.1:9400 tokens=6823 finish=stop attempts=2
complete=254/300 key=82 endpoint=http://127.0.0.1:9300 tokens=6794 finish=stop attempts=2
complete=255/300 key=149 endpoint=http://127.0.0.1:9400 tokens=8086 finish=stop attempts=2
complete=256/300 key=148 endpoint=http://127.0.0.1:9300 tokens=8855 finish=stop attempts=2
complete=257/300 key=37 endpoint=http://127.0.0.1:9400 tokens=11554 finish=stop attempts=2
complete=258/300 key=231 endpoint=http://127.0.0.1:9400 tokens=8121 finish=stop attempts=2
complete=259/300 key=263 endpoint=http://127.0.0.1:9400 tokens=6553 finish=stop attempts=2
complete=260/300 key=281 endpoint=http://127.0.0.1:9400 tokens=6819 finish=stop attempts=2
complete=261/300 key=252 endpoint=http://127.0.0.1:9300 tokens=11629 finish=stop attempts=2
complete=262/300 key=35 endpoint=http://127.0.0.1:9400 tokens=15559 finish=stop attempts=2
complete=263/300 key=151 endpoint=http://127.0.0.1:9400 tokens=15406 finish=stop attempts=2
complete=264/300 key=229 endpoint=http://127.0.0.1:9400 tokens=13240 finish=stop attempts=2
complete=265/300 key=265 endpoint=http://127.0.0.1:9400 tokens=8178 finish=stop attempts=2
complete=266/300 key=277 endpoint=http://127.0.0.1:9400 tokens=9965 finish=stop attempts=2
complete=267/300 key=271 endpoint=http://127.0.0.1:9400 tokens=10649 finish=stop attempts=2
complete=268/300 key=159 endpoint=http://127.0.0.1:9400 tokens=18214 finish=stop attempts=2
complete=269/300 key=145 endpoint=http://127.0.0.1:9400 tokens=16498 finish=stop attempts=2
complete=270/300 key=288 endpoint=http://127.0.0.1:9300 tokens=11426 finish=stop attempts=2
complete=271/300 key=270 endpoint=http://127.0.0.1:9300 tokens=14334 finish=stop attempts=2
complete=272/300 key=290 endpoint=http://127.0.0.1:9300 tokens=14241 finish=stop attempts=2
complete=273/300 key=125 endpoint=http://127.0.0.1:9400 tokens=763 finish=stop attempts=3
complete=274/300 key=183 endpoint=http://127.0.0.1:9400 tokens=11397 finish=stop attempts=3
complete=275/300 key=49 endpoint=http://127.0.0.1:9400 tokens=17180 finish=stop attempts=3
complete=276/300 key=267 endpoint=http://127.0.0.1:9400 tokens=12547 finish=stop attempts=3
complete=277/300 key=264 endpoint=http://127.0.0.1:9300 tokens=12537 finish=stop attempts=3
complete=278/300 key=176 endpoint=http://127.0.0.1:9300 tokens=21646 finish=stop attempts=3
complete=279/300 key=218 endpoint=http://127.0.0.1:9300 tokens=27741 finish=stop attempts=3
complete=280/300 key=91 endpoint=http://127.0.0.1:9400 tokens=3834 finish=stop attempts=4
complete=281/300 key=212 endpoint=http://127.0.0.1:9300 tokens=31153 finish=stop attempts=3
complete=282/300 key=209 endpoint=http://127.0.0.1:9400 tokens=14675 finish=stop attempts=4
complete=283/300 key=202 endpoint=http://127.0.0.1:9300 tokens=15586 finish=stop attempts=4
complete=284/300 key=216 endpoint=http://127.0.0.1:9300 tokens=20330 finish=stop attempts=4
complete=285/300 key=158 endpoint=http://127.0.0.1:9300 tokens=32120 finish=stop attempts=4
complete=286/300 key=269 endpoint=http://127.0.0.1:9400 tokens=7096 finish=stop attempts=5
complete=287/300 key=48 endpoint=http://127.0.0.1:9300 tokens=23839 finish=stop attempts=5
complete=288/300 key=207 endpoint=http://127.0.0.1:9400 tokens=28305 finish=stop attempts=5
